,average_effective_entropy_bits,average_challenge_length,user_verification,unique_challenge_count
750,3518.24,597.0,required,5
751,153.98,32.0,unknown,1
752,3522.54,597.0,required,5
753,3515.85,597.0,required,5
754,810.66,124.0,unknown,5
755,3520.15,597.0,required,5
756,3522.06,597.0,required,5
757,237.5,50.33,preferred,10
758,808.9,124.0,unknown,5
759,3522.78,597.0,required,5
760,721.25,128.0,discouraged,5
761,238.77,50.93,preferred,10
762,232.07,49.33,preferred,10
763,3524.33,597.0,required,5
764,3521.82,597.0,required,5
765,713.22,128.0,discouraged,5
766,715.93,128.0,discouraged,5
767,714.01,128.0,discouraged,5
768,3519.08,597.0,required,5
769,706.43,128.0,discouraged,5
770,720.18,128.0,discouraged,5
771,156.0,32.0,required,1
772,3517.29,597.0,required,5
773,3507.97,597.0,required,5
774,3515.14,597.0,required,5
775,717.77,128.0,discouraged,5
776,710.37,128.0,discouraged,5
777,3514.18,597.0,required,5
778,3518.0,597.0,required,5
779,3523.85,597.0,required,5
780,156.0,32.0,unknown,1
781,720.51,128.0,discouraged,5
782,3504.75,597.0,required,5
783,713.65,128.0,discouraged,5
784,3524.33,597.0,required,5
785,3514.54,597.0,required,5
786,714.19,128.0,discouraged,5
787,3527.67,597.0,required,5
788,717.06,128.0,discouraged,5
789,3510.6,597.0,required,5
790,3518.36,597.0,required,5
791,713.88,128.0,discouraged,5
792,3513.82,597.0,required,5
793,719.51,128.0,discouraged,5
794,717.0,128.0,discouraged,5
795,3518.48,597.0,required,5
796,3513.34,597.0,required,5
797,3519.67,597.0,required,5
798,805.4,124.0,unknown,5
799,3521.7,597.0,required,5
800,3517.76,597.0,required,5
801,3521.11,597.0,required,5
802,3525.29,597.0,required,5
803,158.02,32.0,required,1
804,3514.42,597.0,required,5
805,153.25,32.0,required,1
806,716.03,128.0,discouraged,5
807,3521.94,597.0,required,5
808,3513.23,597.0,required,5
809,63.2,16.0,required,5
810,713.6,128.0,discouraged,5
811,3507.73,597.0,required,5
812,716.52,128.0,discouraged,5
813,153.98,32.0,required,1
814,3517.4,597.0,required,5
815,3514.18,597.0,required,5
816,716.36,128.0,discouraged,5
817,3514.78,597.0,required,5
818,3521.94,597.0,required,5
819,158.02,32.0,required,1
820,3514.42,597.0,required,5
821,3510.6,597.0,required,5
822,3512.27,597.0,required,5
823,3513.46,597.0,required,5
824,156.0,32.0,required,1
825,62.8,16.0,required,5
826,156.0,32.0,unknown,1
827,722.23,128.0,discouraged,5
828,3516.93,597.0,required,5
829,3510.96,597.0,required,5
830,154.8,32.0,required,5
831,3518.48,597.0,required,5
832,712.65,128.0,discouraged,5
833,714.29,128.0,discouraged,5
834,156.79,32.0,preferred,5
835,3521.23,597.0,required,5
836,3517.29,597.0,required,5
837,3526.48,597.0,required,5
838,3519.55,597.0,required,5
